,price_numeric,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_rate,occupancy_proxy,weekend_availability_rate,weekday_availability_rate,accommodates,bathrooms,bedrooms,beds,amenities_count,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,detailed_review_count,unique_reviewer_count,detailed_reviews_last_365d,avg_reviews_per_year,estimated_revenue_proxy,neighbourhood_median_price,neighbourhood_avg_occupancy_proxy
price_numeric,1.0,0.18782071530824257,-0.2501821372672712,-0.37726984137653063,-0.32113140011688235,-0.0523150810249523,-0.05351813042985191,0.05351813042985191,-0.04221881795333602,-0.05807934487417922,0.525068089223508,0.3138994482394164,0.516669047518624,0.4242463386300308,0.2715465833187348,0.2661197141888834,0.1629881226259377,0.27583790812341924,0.15489638843402398,-0.2501821372672712,-0.25039712658331503,-0.29353020737175245,-0.3753985543836494,0.5517337696890018,0.2091236037772706,-0.015771121167020796
minimum_nights,0.18782071530824257,1.0,-0.2221037771716374,-0.43558751431438597,-0.30061676967326334,-0.2816917973071536,-0.2816917973071536,0.2816917973071536,-0.27750049460528675,-0.28208495589765875,0.04758121048735663,0.09776916830677687,0.11910964426529526,0.05657001622839811,0.07390468144745443,0.1856436599214469,0.1055190119311633,0.08662786169379805,0.1344807439313574,-0.2221037771716374,-0.22222346700774365,-0.3554176832901519,-0.435871678239823,0.18838143883711211,0.016414998820777,0.1288970712572367
number_of_reviews,-0.2501821372672712,-0.2221037771716374,1.0,0.6315614563764415,0.14568707028831246,0.10587563766399544,0.10666513083284601,-0.10666513083284601,0.09669999507818147,0.10749833583266896,-0.03496295294148903,0.01389608511593007,-0.03636295961826766,-0.012076968699356951,0.18869204122504754,-0.40855329173050176,-0.2897837811909317,-0.30060436099917714,-0.2139734810368334,1.0,0.9999258214495397,0.6297397050380528,0.6222054785215695,-0.1170387929032964,0.0005752843557402229,-0.11067266757938177
reviews_per_month,-0.37726984137653063,-0.43558751431438597,0.6315614563764415,1.0,0.27928474180822527,0.44544488112304564,0.44638345577637834,-0.44638345577637834,0.43677945761624754,0.446449886466648,-0.07346091579845675,-0.15864882889227624,-0.13196689548851945,-0.1049759286974065,0.014208218518787072,-0.2354625187324723,-0.11469927822943031,-0.10210555739008353,-0.11484742256200445,0.6315614563764415,0.6317763577001704,0.8064950750740425,0.9984578683590716,-0.3115771702754613,-0.0009160030434819269,-0.17578473987408907
calculated_host_listings_count,-0.32113140011688235,-0.30061676967326334,0.14568707028831246,0.27928474180822527,1.0,0.31540987616020943,0.3151704595766882,-0.3151704595766882,0.3108505769065497,0.3173089193455177,-0.07580633895720894,-0.09432344066388439,-0.1063081403483549,-0.03550399874277334,-0.1217193235190278,-0.2633910017805175,-0.1390536783110647,-0.11519807263096349,-0.19024216055367518,0.14568707028831246,0.1456279555177261,0.20506399116946597,0.277485495130074,-0.3624501967798919,-0.046858794221589166,-0.21970625102996935
availability_365,-0.0523150810249523,-0.2816917973071536,0.10587563766399544,0.44544488112304564,0.31540987616020943,1.0,0.9993697213187699,-0.9993697213187699,0.9951486676170329,0.9983364819544935,0.0024941516437662083,-0.08639124850586966,-0.03061665265891513,-0.07237758483458856,-0.04264281433861101,-0.13915268854006982,-0.054566164481046314,-0.005484742777713369,-0.11940955582777102,0.10587563766399544,0.10559228235994009,0.39048725342284585,0.444383459641951,-0.7863635272449601,0.003057920356698659,-0.1626945325736271
availability_rate,-0.05351813042985191,-0.2816917973071536,0.10666513083284601,0.44638345577637834,0.3151704595766882,0.9993697213187699,1.0,-1.0,0.9957822367592758,0.9989690057390249,0.001982474770418119,-0.08529647598244991,-0.0310048286590908,-0.07335126909840396,-0.042703403487863785,-0.1391542607230285,-0.05456109266989122,-0.005553934806499063,-0.11931667714430128,0.10666513083284601,0.10638180498300773,0.3913322908376972,0.44531575450721456,-0.7876192006780213,0.003572399578995898,-0.16264794653654907
occupancy_proxy,0.05351813042985191,0.2816917973071536,-0.10666513083284601,-0.44638345577637834,-0.3151704595766882,-0.9993697213187699,-1.0,1.0,-0.9957822367592758,-0.9989690057390249,-0.001982474770418119,0.08529647598244991,0.0310048286590908,0.07335126909840396,0.042703403487863785,0.1391542607230285,0.05456109266989122,0.005553934806499063,0.11931667714430128,-0.10666513083284601,-0.10638180498300773,-0.3913322908376972,-0.44531575450721456,0.7876192006780213,-0.003572399578995898,0.16264794653654907
weekend_availability_rate,-0.04221881795333602,-0.27750049460528675,0.09669999507818147,0.43677945761624754,0.3108505769065497,0.9951486676170329,0.9957822367592758,-0.9957822367592758,1.0,0.9931721048549826,-0.0008998484827445202,-0.08462075792373215,-0.03474038888392656,-0.07701324880639751,-0.044822389860652616,-0.13559303988988045,-0.052746619428569674,-0.00484572002239542,-0.11994007812173758,0.09669999507818147,0.09641040735663858,0.3793700648428394,0.4357731490778049,-0.7790310084097317,0.003066182273969391,-0.1602085926510511
weekday_availability_rate,-0.05807934487417922,-0.28208495589765875,0.10749833583266896,0.446449886466648,0.3173089193455177,0.9983364819544935,0.9989690057390249,-0.9989690057390249,0.9931721048549826,1.0,0.0010811191258205627,-0.08545196894501808,-0.0318118257082819,-0.07148835257958248,-0.043569060249992214,-0.14059586025364829,-0.055416458159393875,-0.006636910605976372,-0.12005831427773919,0.10749833583266896,0.10721035947884444,0.39064435114745183,0.44535296225189663,-0.7898643702806339,0.0033370735759704804,-0.16306487654244886
